"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SPICEJET","EQ","30-Oct-2019","        115.50","        116.60","        117.20","        113.00","        113.95","        113.95","        114.89","    1372577","           157689678.55","      15876","     799183","         58.23"
"SPICEJET","EQ","31-Oct-2019","        113.95","        114.90","        116.30","        113.25","        115.50","        115.20","        114.66","    1039366","           119177803.65","      12031","     584001","         56.19"
"SPICEJET","EQ","01-Nov-2019","        115.20","        117.80","        121.50","        116.30","        117.95","        117.95","        118.61","    2319251","           275081567.25","      19041","     729026","         31.43"
"SPICEJET","EQ","04-Nov-2019","        117.95","        117.95","        118.15","        114.05","        114.70","        114.65","        115.62","     750517","            86775579.40","       8429","     441186","         58.78"
"SPICEJET","EQ","05-Nov-2019","        114.65","        113.95","        120.40","        113.00","        116.90","        117.00","        117.39","    1966569","           230847622.70","      16370","     578989","         29.44"
"SPICEJET","EQ","06-Nov-2019","        117.00","        116.90","        116.90","        114.30","        115.00","        115.00","        115.29","     598557","            69007399.60","       8171","     350219","         58.51"
"SPICEJET","EQ","07-Nov-2019","        115.00","        115.45","        115.90","        114.10","        114.40","        114.65","        114.83","     605545","            69536390.60","      10281","     286068","         47.24"
"SPICEJET","EQ","08-Nov-2019","        114.65","        114.00","        115.85","        113.00","        113.25","        113.20","        114.06","     725129","            82711133.35","      10031","     328156","         45.25"
"SPICEJET","EQ","11-Nov-2019","        113.20","        112.90","        116.25","        112.15","        115.75","        115.20","        114.50","     678794","            77722267.35","       9927","     324646","         47.83"
"SPICEJET","EQ","13-Nov-2019","        115.20","        115.45","        116.00","        113.20","        113.60","        113.85","        114.62","     539613","            61848730.10","       6992","     300794","         55.74"
"SPICEJET","EQ","14-Nov-2019","        113.85","        105.50","        110.70","        105.50","        107.15","        107.00","        107.69","    2664655","           286966224.75","      22096","    1136968","         42.67"
"SPICEJET","EQ","15-Nov-2019","        107.00","        107.00","        108.40","        106.10","        106.45","        106.45","        107.06","     729681","            78123027.35","       7069","     378313","         51.85"
"SPICEJET","EQ","18-Nov-2019","        106.45","        107.00","        108.00","        105.80","        106.00","        106.00","        106.72","     651424","            69522936.20","       8420","     274300","         42.11"
"SPICEJET","EQ","19-Nov-2019","        106.00","        110.05","        111.05","        107.60","        110.10","        109.35","        109.18","    1359413","           148422435.05","      13612","     573951","         42.22"
"SPICEJET","EQ","20-Nov-2019","        109.35","        111.00","        113.50","        110.10","        111.00","        111.20","        111.77","    2035412","           227490775.15","      17773","     507544","         24.94"
"SPICEJET","EQ","21-Nov-2019","        111.20","        111.55","        111.55","        107.25","        107.90","        107.70","        109.04","     556704","            60701937.10","       8103","     255099","         45.82"
"SPICEJET","EQ","22-Nov-2019","        107.70","        107.95","        112.00","        106.50","        110.35","        109.65","        108.78","     920507","           100130945.90","       7996","     329971","         35.85"
"SPICEJET","EQ","25-Nov-2019","        109.65","        108.90","        113.80","        106.05","        109.75","        109.70","        110.43","    1988400","           219582253.25","      18291","     703561","         35.38"
