"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"WIPRO","EQ","22-May-2019","        286.90","        287.00","        287.50","        281.00","        283.40","        283.10","        282.64","    7650054","          2162232364.45","      93873","    4829159","         63.13"
"WIPRO","EQ","23-May-2019","        283.10","        285.60","        285.90","        281.50","        282.30","        282.20","        282.71","    4856284","          1372921102.55","      58395","    2718751","         55.98"
"WIPRO","EQ","24-May-2019","        282.20","        283.90","        284.20","        280.00","        283.65","        282.90","        281.43","    4927649","          1386767407.40","      53810","    2504308","         50.82"
"WIPRO","EQ","27-May-2019","        282.90","        284.00","        284.10","        280.20","        280.35","        280.50","        281.15","    5450311","          1532378538.80","      67102","    3543795","         65.02"
"WIPRO","EQ","28-May-2019","        280.50","        281.00","        285.75","        279.65","        284.50","        282.95","        282.94","   44137428","         12488284088.20","     164216","   35541399","         80.52"
"WIPRO","EQ","29-May-2019","        282.95","        284.50","        288.50","        283.50","        286.20","        285.70","        286.88","    5505873","          1579526157.40","      50179","    2365740","         42.97"
"WIPRO","EQ","30-May-2019","        285.70","        286.00","        290.00","        285.50","        288.05","        288.00","        287.76","   11575957","          3331124498.25","      69861","    6379772","         55.11"
"WIPRO","EQ","31-May-2019","        288.00","        288.15","        290.00","        285.00","        286.55","        286.40","        286.96","    7324481","          2101809175.60","      69816","    4717819","         64.41"
"WIPRO","EQ","03-Jun-2019","        286.40","        288.50","        292.05","        287.25","        291.55","        291.30","        289.78","    5853338","          1696188181.85","      63007","    3391792","         57.95"
"WIPRO","EQ","04-Jun-2019","        291.30","        294.00","        295.95","        290.80","        293.80","        293.75","        293.78","   11081667","          3255544895.70","      99945","    5629356","         50.80"
"WIPRO","EQ","06-Jun-2019","        293.75","        294.00","        294.60","        291.00","        291.80","        291.50","        292.60","    8600880","          2516643119.30","      92939","    5225513","         60.76"
"WIPRO","EQ","07-Jun-2019","        291.50","        292.50","        295.90","        292.00","        294.80","        295.05","        294.31","    6784884","          1996826900.10","      83780","    3365876","         49.61"
"WIPRO","EQ","10-Jun-2019","        295.05","        295.75","        298.00","        295.50","        297.05","        297.10","        296.93","    7481893","          2221605284.80","      73372","    5019789","         67.09"
"WIPRO","EQ","11-Jun-2019","        297.10","        297.00","        299.50","        296.10","        297.50","        297.70","        298.33","    7234084","          2158146143.15","      61092","    4298660","         59.42"
"WIPRO","EQ","12-Jun-2019","        297.70","        297.50","        298.80","        296.85","        297.75","        298.00","        297.84","    6222540","          1853345626.10","      70618","    4345117","         69.83"
"WIPRO","EQ","13-Jun-2019","        298.00","        298.00","        298.90","        297.15","        298.55","        298.40","        298.09","    5002281","          1491122421.00","      50432","    3544273","         70.85"
"WIPRO","EQ","14-Jun-2019","        298.40","        298.75","        301.60","        298.00","        299.00","        298.80","        299.46","    7965803","          2385471701.15","      83695","    4697379","         58.97"
"WIPRO","EQ","17-Jun-2019","        298.80","        300.00","        300.75","        298.85","        299.15","        299.15","        299.67","    6178604","          1851552081.60","      46140","    4216103","         66.88"
"WIPRO","EQ","18-Jun-2019","        299.15","        299.50","        300.50","        296.00","        298.45","        298.00","        297.87","    8401792","          2502626193.00","     102022","    5994300","         69.87"
"WIPRO","EQ","19-Jun-2019","        298.00","        299.00","        299.20","        292.15","        293.30","        294.05","        294.38","   11902961","          3504038682.90","     102574","    7889125","         66.28"
"WIPRO","EQ","20-Jun-2019","        294.05","        284.05","        287.80","        282.40","        286.75","        286.95","        285.38","    9560422","          2728332307.20","      75937","    4477433","         46.83"
"WIPRO","EQ","21-Jun-2019","        286.95","        287.00","        290.00","        284.20","        286.00","        285.85","        286.66","    6477258","          1856774012.75","      59697","    3476985","         53.68"
"WIPRO","EQ","24-Jun-2019","        285.85","        285.50","        287.60","        283.15","        284.20","        283.90","        285.23","    3171739","           904668891.60","      43631","    1836281","         57.90"
"WIPRO","EQ","25-Jun-2019","        283.90","        284.00","        286.30","        281.85","        285.20","        285.30","        284.06","    2809748","           798141972.30","      36672","    1324648","         47.14"
"WIPRO","EQ","26-Jun-2019","        285.30","        285.15","        288.00","        284.55","        286.55","        286.15","        286.31","    2331769","           667617296.15","      39402","    1308969","         56.14"
"WIPRO","EQ","27-Jun-2019","        286.15","        287.35","        287.80","        280.70","        282.70","        282.10","        282.86","    5089200","          1439516027.65","      57088","    2739526","         53.83"
"WIPRO","EQ","28-Jun-2019","        282.10","        283.80","        283.80","        280.00","        280.85","        280.50","        281.50","    3149389","           886555850.10","      53723","    1588650","         50.44"
"WIPRO","EQ","01-Jul-2019","        280.50","        281.60","        283.40","        280.95","        282.15","        282.00","        282.14","    1735921","           489775780.25","      33665","     955355","         55.03"
"WIPRO","EQ","02-Jul-2019","        282.00","        282.45","        285.00","        281.70","        284.30","        284.25","        283.86","    2609369","           740704030.60","      38881","    1219656","         46.74"
"WIPRO","EQ","03-Jul-2019","        284.25","        284.90","        285.60","        282.05","        282.65","        282.85","        283.25","    1258276","           356410648.55","      21561","     505062","         40.14"
"WIPRO","EQ","04-Jul-2019","        282.85","        283.00","        284.90","        282.00","        283.60","        283.85","        283.77","    1628331","           462072382.00","      24896","     961449","         59.05"
"WIPRO","EQ","05-Jul-2019","        283.85","        284.00","        284.55","        271.00","        271.75","        271.85","        275.86","    4585463","          1264955564.80","      69062","    2011218","         43.86"
"WIPRO","EQ","08-Jul-2019","        271.85","        267.75","        271.25","        266.05","        267.40","        266.90","        268.03","    3574785","           958132357.25","      43699","    1152863","         32.25"
"WIPRO","EQ","09-Jul-2019","        266.90","        267.50","        270.75","        264.25","        265.70","        265.50","        266.49","    2620062","           698231938.55","      32953","    1131889","         43.20"
"WIPRO","EQ","10-Jul-2019","        265.50","        264.70","        269.50","        263.30","        266.80","        266.95","        267.54","    2780563","           743924155.65","      36868","     985283","         35.43"
"WIPRO","EQ","11-Jul-2019","        266.95","        267.50","        270.00","        266.10","        268.00","        267.75","        267.60","    2691893","           720357688.00","      29145","    1415397","         52.58"
"WIPRO","EQ","12-Jul-2019","        267.75","        268.00","        268.65","        258.05","        259.80","        258.95","        261.02","    7595278","          1982530738.80","      84569","    2169089","         28.56"
"WIPRO","EQ","15-Jul-2019","        258.95","        260.00","        262.00","        255.90","        260.45","        259.90","        258.77","    4747449","          1228517912.55","      46716","    1338074","         28.19"
"WIPRO","EQ","16-Jul-2019","        259.90","        259.00","        262.70","        256.25","        260.00","        260.00","        259.13","    4861657","          1259802087.60","      68300","    1657568","         34.09"
"WIPRO","EQ","17-Jul-2019","        260.00","        262.00","        262.80","        258.10","        260.00","        259.60","        260.19","    5818769","          1514003863.55","      78089","    1730077","         29.73"
"WIPRO","EQ","18-Jul-2019","        259.60","        261.00","        274.15","        259.55","        267.75","        269.10","        268.29","   21027353","          5641408251.50","     162298","    3457649","         16.44"
"WIPRO","EQ","19-Jul-2019","        269.10","        269.10","        269.65","        263.50","        265.50","        264.70","        265.62","    4229695","          1123483931.90","      48207","     979027","         23.15"
